,0,1,2,3,4,5,6,7,8,9
0,"Size EU
ORDER TOTAL
Length
Colour + variant name",XXS,XS,S,M,L,XL,XXL,XXXL,Total
1,,,,,,,,,,
2,Dark Blue Denim,0,0,4,8,8,4,0,0,24
3,Light Blue Denim,0,0,4,8,8,4,0,0,24
4,Total,0,0,8,16,16,8,0,0,48
